date,y_pred,y_true
2018-09-17,111.2365374302864,112.14
2018-09-18,111.53216658294201,113.21
2018-09-19,111.0102604842186,111.7
2018-09-20,110.90731352031231,113.57
2018-09-21,111.85287636578083,114.26
2018-09-24,112.98014774084092,114.67
2018-09-25,112.08754964530468,114.45
2018-09-26,113.07428844928742,113.98
2018-09-27,112.95881766140461,114.41
2018-09-28,112.5183870947361,114.37
2018-10-01,113.07888240277768,115.61
2018-10-02,113.16321796536445,115.15
2018-10-03,113.52738890409469,115.17
2018-10-04,112.30493552446366,112.79
2018-10-05,111.03058224976063,112.13
2018-10-08,109.85106231033802,110.85
2018-10-09,109.37126038432122,112.26
2018-10-10,109.97263481080532,106.16
2018-10-11,105.2737224406004,105.91
2018-10-12,105.97418019831181,109.57
2018-10-15,108.06118735432625,107.6
2018-10-16,106.34835417628288,111.0
2018-10-17,109.03896912693978,110.71
2018-10-18,108.99814654946327,108.5
2018-10-19,107.44103190362453,108.66
2018-10-22,108.47823351979255,109.63
2018-10-23,107.95760430455208,108.1
2018-10-24,105.64710955679416,102.32
2018-10-25,103.43273916304112,108.3
2018-10-26,107.7056200659275,106.96
2018-10-29,105.24021249473095,103.85
2018-10-30,103.19653927743435,103.73
2018-10-31,102.99010349869728,106.81
2018-11-01,107.34580749332905,105.92
2018-11-02,104.29401827514172,106.16
2018-11-05,106.0099376475811,107.51
2018-11-06,107.01555171072484,107.72
2018-11-07,107.81628015995025,111.96
2018-11-08,111.2988314396143,111.75
2018-11-09,109.2246072536707,109.57
2018-11-12,108.32652939617634,106.87
2018-11-13,106.777014798522,106.94
2018-11-14,106.11804397463798,104.97
2018-11-15,105.09225892186166,107.28
2018-11-16,105.80439238905907,108.29
2018-11-19,106.43135160267353,104.62
2018-11-20,103.96074226260185,101.71
2018-11-21,101.33302913665771,103.11
2018-11-23,103.66859037935734,103.07
2018-11-26,102.89078929185868,106.47
2018-11-27,105.45414937496186,107.14
2018-11-28,106.8220685249567,111.12
2018-11-29,110.32128054261207,110.19
2018-11-30,108.63453159689904,110.89
2018-12-03,110.63845651507378,112.09
2018-12-04,110.48716702520848,108.52
2018-12-06,108.21916281342507,109.19
2018-12-07,106.90328019917011,104.82
2018-12-10,106.10579814374447,107.59
2018-12-11,106.41283443629742,108.59
2018-12-12,107.78414133250713,109.08
2018-12-13,108.43693505585193,109.45
2018-12-14,107.33819330990315,106.03
2018-12-17,105.12117491424084,102.89
2018-12-18,102.61661272406579,103.97
2018-12-19,103.42873888969422,103.69
2018-12-20,102.93538597881795,101.51
2018-12-21,100.19329519033433,98.23
2018-12-24,98.68789668142796,94.13
2018-12-26,96.41029464066028,100.56
2018-12-27,99.29372842073441,101.18
2018-12-28,99.56249590277672,100.39
2018-12-31,100.41184958279133,101.57
