date,open,high,low,close,volume
2001-12-13,12719.11,13045.31,12562.17,12655.77,174.21M
2001-12-14,12655.77,12761.86,12507.68,12761.86,76.89M
2001-12-19,12761.86,13069.02,12585.09,12788.89,96.67M
2001-12-20,12788.89,12788.89,12349.39,12679.17,96.50M
2001-12-21,12679.17,12721.20,12483.52,12721.20,71.04M
2001-12-24,12721.20,12802.82,12507.73,12686.33,73.58M
2001-12-25,12686.33,13005.69,12497.32,12875.79,101.05M
2001-12-26,12875.79,13201.65,12875.79,13068.43,122.29M
2001-12-27,13068.43,13608.99,13068.43,13608.99,191.80M
2001-12-28,13608.99,13961.26,13589.16,13782.76,199.43M
2002-01-02,14077.98,14077.98,13600.70,14077.98,144.22M
2002-01-03,14077.98,14273.75,14003.05,14272.67,203.48M
2002-01-07,14272.67,14999.51,14270.10,14999.51,299.81M
2002-01-08,14999.51,15071.84,14628.45,14878.91,209.21M
2002-01-09,14878.91,14999.83,13664.69,14042.80,220.44M
2002-01-10,14042.80,14333.31,13693.00,13818.59,193.76M
2002-01-11,13818.59,14039.26,13455.03,13616.21,141.98M
2002-01-14,13616.21,13913.98,13346.29,13638.55,146.59M
2002-01-15,13638.55,13701.39,13095.74,13348.01,104.92M
2002-01-16,13348.01,13349.79,12636.15,12758.91,127.36M
2002-01-17,12758.91,13117.28,12670.87,12893.57,156.69M
2002-01-18,12893.57,13209.36,12772.72,13012.20,126.31M
2002-01-21,13012.20,13066.38,12398.86,12629.37,87.59M
2002-01-22,12629.37,12753.17,12337.63,12639.15,91.41M
2002-01-23,12639.15,12951.67,12377.28,12910.24,112.37M
2002-01-24,12910.24,13123.38,12812.86,13026.08,119.15M
2002-01-25,13026.08,13038.30,12687.73,12871.10,63.39M
2002-01-28,12871.10,12871.10,12449.88,12764.55,82.10M
2002-01-29,12764.55,12867.00,12399.13,12514.98,108.33M
2002-01-30,12514.98,12649.35,12069.97,12539.01,101.98M
2002-01-31,12539.01,13252.32,12539.01,13252.32,150.83M
2002-02-01,13252.32,13500.29,13131.62,13375.36,144.50M
2002-02-04,13375.36,13375.36,12908.46,13074.69,73.86M
2002-02-05,13074.69,13141.81,12433.57,12520.61,96.46M
2002-02-06,12520.61,12603.94,12064.80,12257.41,95.55M
2002-02-07,12257.41,12306.51,11579.94,11702.06,109.16M
2002-02-08,11702.06,11702.06,10775.20,11255.27,150.33M
2002-02-11,11255.27,11675.15,11227.86,11675.15,99.66M
2002-02-12,11675.15,11883.29,11386.11,11616.25,122.80M
2002-02-13,11616.25,11977.06,11616.25,11826.87,110.82M
2002-02-14,11826.87,11895.58,11600.07,11845.33,74.33M
2002-02-15,11845.33,11859.85,11409.61,11478.59,85.63M
2002-02-18,11478.59,11482.37,11034.42,11270.72,50.30M
2002-02-19,11270.72,11526.40,11097.40,11517.28,69.98M
2002-02-20,11517.28,11517.28,10957.20,11091.91,62.62M
2002-02-21,11091.91,11256.25,11091.91,11165.82,18.95M
2002-02-26,11165.82,11395.36,10825.12,10931.75,58.80M
2002-02-27,10931.75,11188.49,10715.81,11186.75,50.15M
2002-02-28,11186.75,11206.98,10825.23,11055.67,72.83M
2002-03-01,11055.67,11487.96,11024.56,11470.86,102.16M
2002-03-04,11470.86,11772.30,11470.86,11665.30,114.82M
2002-03-05,11665.30,11758.52,11355.64,11418.64,93.27M
2002-03-06,11418.64,11503.00,11242.12,11346.69,52.78M
2002-03-07,11346.69,11968.42,11346.69,11621.16,157.82M
2002-03-08,11621.16,11704.93,11406.86,11704.93,62.12M
2002-03-11,11704.93,11705.77,11256.99,11336.31,58.97M
2002-03-12,11336.31,11336.31,10745.26,10842.11,81.58M
2002-03-13,10842.11,10970.77,10488.82,10594.02,68.52M
2002-03-14,10594.02,10932.68,10468.25,10614.28,-
2002-03-15,10614.28,10832.45,10480.54,10771.86,67.68M
2002-03-18,10771.86,10826.54,10443.81,10604.90,45.74M
2002-03-19,10604.90,10731.08,10539.91,10643.70,49.32M
2002-03-20,10643.70,10921.47,10643.70,10776.31,74.50M
2002-03-21,10776.31,11484.98,10685.32,11471.06,149.25M
2002-03-22,11471.06,11849.22,11394.04,11791.59,234.06M
2002-03-25,11791.59,12016.53,11664.43,12016.53,160.66M
2002-03-26,12016.53,12016.53,11579.82,11639.28,147.49M
2002-03-27,11639.28,11961.50,11614.73,11862.56,131.24M
2002-03-28,11862.56,12173.12,11714.75,11808.74,179.29M
2002-03-29,11808.74,11822.84,11548.14,11679.43,71.69M
2002-04-01,11679.43,11679.43,11370.55,11621.55,-
2002-04-02,11621.55,11827.22,11554.30,11827.22,93.42M
2002-04-03,11827.22,11859.25,11182.31,11276.94,122.33M
2002-04-04,11276.94,11796.06,11276.94,11796.06,122.88M
2002-04-05,11796.06,11863.50,11675.42,11863.50,-
2002-04-08,11863.50,12077.99,11321.22,11455.88,189.34M
2002-04-09,11455.88,11904.49,11449.79,11904.49,134.27M
2002-04-10,11904.49,12089.24,11648.85,12030.94,179.44M
2002-04-11,12030.94,12472.33,12030.94,12257.30,229.60M
2002-04-12,12257.30,12362.31,12073.20,12240.23,115.83M
2002-04-15,12240.23,12605.92,12221.75,12605.92,121.56M
2002-04-16,12605.92,12676.40,11983.88,12220.26,192.64M
2002-04-17,12220.26,12367.60,12052.47,12263.26,126.95M
2002-04-18,12263.26,12343.49,11904.74,12010.09,123.30M
2002-04-19,12010.09,12037.40,11695.52,11970.94,91.04M
2002-04-22,11970.94,11970.94,11659.24,11759.72,46.14M
2002-04-24,11759.72,11837.48,11450.95,11775.13,73.04M
2002-04-25,11775.13,11873.94,11625.31,11800.49,65.95M
2002-04-26,11800.49,12050.34,11699.58,12041.19,83.68M
2002-04-29,12041.19,12041.19,11517.46,11657.26,84.44M
2002-04-30,11657.26,11734.20,11347.19,11441.50,73.43M
2002-05-01,11441.50,11590.66,11300.74,11479.72,49.14M
2002-05-02,11479.72,11623.14,11207.52,11321.90,57.55M
2002-05-03,11321.90,11469.04,11253.57,11469.04,46.00M
2002-05-06,11469.04,11469.04,11206.35,11447.25,47.39M
2002-05-07,11447.25,11655.40,11315.48,11655.40,85.28M
2002-05-08,11655.40,12117.17,11571.13,12117.17,131.14M
2002-05-09,12117.17,12270.53,11825.19,11944.79,134.76M
